Canon EOS 20D,Canon/EOS 20D/IMG_3893.CR2,Canon EOS 20D,800,3.123,3.155,4.146
Canon EOS 30D,Canon/EOS 30D/IMG_0062.CR2,Canon EOS 30D,100,4.609,7.788,5.003
Canon EOS 350D,Canon/EOS 350D/IMG_1707.CR2,Canon EOS 350D DIGITAL,100,4.250,4.241,4.230
Canon EOS 400D,Canon/EOS 400D/IMG_3397.CR2,Canon EOS 400D DIGITAL,100,3.489,3.432,3.397
Canon EOS 40D,Canon/EOS 40D/_MG_0153.CR2,Canon EOS 40D,100,1.135,2.171,1.255
Canon EOS 5D,Canon/EOS 5D/IMG_1428.CR2,Canon EOS 5D,400,2.082,3.229,2.414
Canon EOS D60,Canon/EOS D60/CRW_0099.CRW,Canon EOS D60,100,1.515,11.374,2.882
Canon EOS-1D Mark II,Canon/EOS-1D Mark II/RAW_CANON_1DM2.CR2,Canon EOS-1D Mark II,100,4.014,8.412,6.165
Canon EOS-1D Mark III,Canon/EOS-1D Mark III/_K5R7350.CR2,Canon EOS-1D Mark III,1000,2.582,3.206,1.964
Canon EOS-1Ds Mark II,Canon/EOS-1Ds Mark II/RAW_CANON_1DSM2.CR2,Canon EOS-1Ds Mark II,640,2.233,3.753,2.678
Canon IXY 220F,Canon/IXY 220F/canon_ixy_220f.DNG,Canon IXY 220F,96,3.364,5.187,2.994
Canon PowerShot G9,Canon/PowerShot G9/IMG_1188.CR2,Canon PowerShot G9,80,1.932,3.061,2.241
Fujifilm FinePix HS50EXR,Fujifilm/FinePix HS50EXR/DSCF0016.RAF,FinePix HS50EXR,100,2.882,3.670,2.797
Fujifilm FinePix X10,Fujifilm/FinePix X10/DSCF0514.RAF,X10,200,1.051,1.543,1.180
Fujifilm FinePix X100,Fujifilm/FinePix X100/DSCF1676.RAF,FinePix X100,400,2.206,2.282,1.133
Fujifilm GFX 50R,Fujifilm/GFX 50R/2019-01-24-14-02-50_DSCF1316_e819634e46ecdb8ea241012ee70ae11e5c220c48.raf,GFX 50R,100,2.949,4.134,2.675
Fujifilm X-A5,Fujifilm/X-A5/DSCF0617.RAF,X-A5,200,3.201,4.725,1.740
Fujifilm X-T100,Fujifilm/X-T100/DSCF0627.RAF,X-T100,200,2.453,3.426,3.044
Fujifilm XF10,Fujifilm/XF10/DSCF6466.RAF,XF10,200,1.946,2.695,1.982
Minolta Dynax 5D,MINOLTA/DYNAX 5D/Minolta_Dynax_5D.MRW,DYNAX 5D,100,3.108,3.374,0.925
Nikon 1 AW1,Nikon/1 AW1/_DSC0521.NEF,NIKON 1 AW1,160,2.514,3.398,2.818
Nikon 1 J1,Nikon/1 J1/_DSC0355.NEF,NIKON 1 J1,200,5.091,6.932,3.671
Nikon 1 J2,Nikon/1 J2/DSC_0451.NEF,NIKON 1 J2,100,3.004,3.370,2.170
Nikon 1 J3,Nikon/1 J3/DSC_0091.NEF,NIKON 1 J3,160,2.304,3.437,3.002
Nikon 1 J5,Nikon/1 J5/20151027-10311989-NIKON_1_J5.nef,NIKON 1 J5,6400,2.351,3.238,2.871
Nikon 1 S1,Nikon/1 S1/DSC_0076.NEF,NIKON 1 S1,200,3.246,3.435,2.327
Nikon 1 V1,Nikon/1 V1/DSC_4157.NEF,NIKON 1 V1,800,2.579,2.748,1.769
Nikon 1 V2,Nikon/1 V2/Nikon_1_V2_ISO-200.NEF,NIKON 1 V2,200,1.649,2.253,1.799
Nikon 1 V3,Nikon/1 V3/DSC_3313.NEF,NIKON 1 V3,160,2.399,2.755,2.608
Nikon COOLPIX B700,Nikon/COOLPIX B700/DSCN2079.NRW,COOLPIX B700,100,2.157,3.289,2.721
Nikon COOLPIX P1000,Nikon/COOLPIX P1000/DSCN1113.NRW,COOLPIX P1000,100,2.610,3.103,1.896
Nikon COOLPIX P950,Nikon/COOLPIX P950/DSCN0014.NRW,COOLPIX P950,100,2.842,4.075,2.766
Nikon Coolpix A,Nikon/Coolpix A/_DSC0010.NEF,COOLPIX A,100,6.000,8.433,4.526
Nikon Coolpix P7100,Nikon/Coolpix P7100/RAW_NIKON_COOLPIX_P7100.NRW,COOLPIX P7100,100,2.461,3.354,1.960
Nikon Coolpix P7700,Nikon/Coolpix P7700/2021-01-09-112815.NRW,COOLPIX P7700,80,2.809,4.067,2.433
Nikon D200,NIKON CORPORATION/NIKON D200/20071013-10273016-NIKON_D200.nef,NIKON D200,100,2.416,3.784,3.692
Nikon D2X,NIKON CORPORATION/NIKON D2X/_ABA4604.NEF,NIKON D2X,200,4.314,4.572,2.242
Nikon D3,Nikon/D3/JD1_8203.NEF,NIKON D3,200,2.488,3.622,3.178
Nikon D300,Nikon/D300/MMC_2821.NEF,NIKON D300,200,3.780,3.649,3.649
Nikon D3000,Nikon/D3000/DSC_0009.NEF,NIKON D3000,100,2.364,5.170,3.611
Nikon D300S,Nikon/D300S/_DSC4612.NEF,NIKON D300S,100,2.283,2.717,2.619
Nikon D3100,Nikon/D3100/DSC_0359.NEF,NIKON D3100,220,2.489,3.472,2.278
Nikon D3200,Nikon/D3200/DSC_0059.NEF,NIKON D3200,800,2.855,3.178,2.290
Nikon D3300,Nikon/D3300/DSC_0028.NEF,NIKON D3300,400,2.274,3.137,2.640
Nikon D3400,Nikon/D3400/DSC_0202.NEF,NIKON D3400,400,2.603,3.462,2.065
Nikon D3500,Nikon/D3500/DSC_0043.NEF,NIKON D3500,100,3.327,5.947,4.227
Nikon D4,Nikon/D4/_DSC2250[1].NEF,NIKON D4,400,2.136,3.144,2.410
Nikon D40,Nikon/D40/DSC_1842.NEF,NIKON D40,200,2.170,4.594,3.188
Nikon D4S,Nikon/D4S/FU9_3803.NEF,NIKON D4S,320,2.731,4.162,3.168
Nikon D5,Nikon/D5/20170603_CCSG_on_Nikon_D5-DSC3096.NEF,NIKON D5,100,2.504,3.819,3.308
Nikon D50,Nikon/D50/DSC_5155.NEF,NIKON D50,200,2.041,3.698,2.751
Nikon D500,Nikon/D500/Nikon_D500_RAWL_12bit_Compressed.NEF,NIKON D500,100,nan,nan,nan
Nikon D500,Nikon/D500/Nikon_D500_RAWL_12bit_LosslessCompressed.NEF,NIKON D500,100,nan,nan,nan
Nikon D500,Nikon/D500/Nikon_D500_RAWL_12bit_Uncompressed.NEF,NIKON D500,100,nan,nan,nan
Nikon D5000,Nikon/D5000/2017-03-30T14-24-27+0800_DSC_3614.NEF,NIKON D5000,200,13.582,17.976,15.938
Nikon D5100,Nikon/D5100/00.nikon.12b-lossy-raw.nef,NIKON D5100,500,2.205,3.312,2.813
Nikon D5200,Nikon/D5200/NIKON_D5200_14_bit_compressed.NEF,NIKON D5200,200,2.205,3.609,2.629
Nikon D5300,NIKON CORPORATION/NIKON D5300/DSC_0089-14bit-uncompressed.NEF,NIKON D5300,320,3.485,4.866,2.750
Nikon D5500,Nikon/D5500/DSC_0258.NEF,NIKON D5500,6400,2.755,3.059,2.143
Nikon D5600,Nikon/D5600/2018-01-20_01-14_0792.NEF,NIKON D5600,12800,2.487,3.148,2.732
Nikon D60,Nikon/D60/DSC_8294.NEF,NIKON D60,100,4.819,3.591,8.168
Nikon D600,Nikon/D600/DSC_3294.NEF,NIKON D600,400,2.671,4.246,3.872
Nikon D610,Nikon/D610/ESP_0352.NEF,NIKON D610,400,3.072,3.250,1.849
Nikon D700,Nikon/D700/_GDN0443.NEF,NIKON D700,100,2.727,5.058,3.606
Nikon D7000,Nikon/D7000/Compressed 12-bit D7000 NIK_3876.NEF,NIKON D7000,100,2.333,3.360,2.962
Nikon D7100,Nikon/D7100/JCR_4305.NEF,NIKON D7100,200,2.748,3.916,3.130
Nikon D7200,Nikon/D7200/DSC_0977.NEF,NIKON D7200,1600,2.268,3.205,2.538
Nikon D750,Nikon/D750/compressed_12_bit.NEF,NIKON D750,100,nan,nan,nan
Nikon D750,Nikon/D750/compressed_14_bit.NEF,NIKON D750,100,2.259,3.030,2.627
Nikon D7500,Nikon/D7500/RAW_NIKON_D7500_12BIT_COMPRESSED.NEF,NIKON D7500,100,2.614,3.175,2.067
Nikon D780,Nikon/D780/DSC_0334.NEF,NIKON D780,100,nan,nan,nan
Nikon D780,Nikon/D780/DSC_0336.NEF,NIKON D780,100,nan,nan,nan
Nikon D780,Nikon/D780/DSC_0338.NEF,NIKON D780,100,7.183,12.808,6.874
Nikon D80,Nikon/D80/DSC_0143.dng,NIKON D80,400,2.719,3.290,3.050
Nikon D800,Nikon/D800/D800-12b-comp.NEF,NIKON D800,50,3.157,4.285,2.847
Nikon D800E,Nikon/D800E/NikonD800EDyLght0EV.NEF,NIKON D800E,100,2.983,3.697,nan
Nikon D810,Nikon/D810/DSC_1882.NEF,NIKON D810,100,2.940,3.774,3.153
Nikon D850,Nikon/D850/Nikon-D850-12bit-compressed.NEF,NIKON D850,64,1.689,2.259,2.478
Nikon D90,Nikon/D90/00001.NEF,NIKON D90,250,2.445,3.152,2.641
Nikon Z 5,Nikon/Z 5/DSC_0517.NEF,NIKON Z 5,400,2.456,3.229,2.646
Nikon Z 50,Nikon/Z 50/DSC_0441.NEF,NIKON Z 50,250,2.658,6.692,4.542
Nikon Z 6,Nikon/Z 6/DSC_0750.NEF,NIKON Z 6,100,2.258,2.839,2.485
Nikon Z 6_2,Nikon/Z 6_2/CZP_0299.NEF,NIKON Z 6_2,100,13.607,27.740,14.171
Nikon Z 7,Nikon/Z 7/1-Nikon-Z7-RAW-14bit-uncompressed-L.NEF,NIKON Z 7,64,2.486,2.967,2.521
Nikon Z 7_2,Nikon/Z 7_2/Z72_0027.NEF,NIKON Z 7_2,100,3.345,4.778,3.242
Nikon Z 8,Nikon/Z 8/Nikon_Z8_raw_14_bit_lossless_compression.NEF,NIKON Z 8,64,5.872,11.639,5.460
Nikon Z 9,Nikon/Z 9/Nikon_-_NIKON_Z_9_-_14bit_compressed_(Lossless).NEF,NIKON Z 9,64,2.987,5.085,3.610
Nikon Z f,Nikon/Z f/DSC_0040.NEF,NIKON Z f,160,3.844,5.336,3.968
OM System OM-1,OM System/OM-1/OM_Systems_OM1_RAW_Image_20mpx_P1010025.ORF,OM-1,200,4.333,10.792,4.026
OM System OM-1 Mark II,OM System/OM-1 Mark II/20mp-12bit.orf,OM-1MarkII,200,4.755,10.125,5.011
OM System OM-5,OM System/OM-5/C1291096.ORF,OM-5,200,3.293,6.094,3.176
Olympus E-1,Olympus/E-1/E_1__C106743_gredos.ORF,E-1,100,2.645,8.872,7.205
Olympus E-3,Olympus/E-3/E_3__3099164_casco_antiguo_petrer.ORF,E-3,100,2.182,2.619,1.795
Olympus E-30,Olympus/E-30/RAW_OLYMPUS_E30.ORF,E-30,200,2.668,3.212,2.078
Olympus E-400,Olympus/E-400/_A270187.ORF,E-400,200,2.345,3.988,2.972
Olympus E-420,Olympus/E-420/P4232993.ORF,E-420,100,2.898,4.627,3.260
Olympus E-500,Olympus/E-500/_1010010.ORF,E-500,400,2.453,4.163,3.413
Olympus E-510,Olympus/E-510/Olympus_E510-4.ORF,E-510,400,3.136,4.009,3.000
Olympus E-520,Olympus/E-520/RAW_OLYMPUS_E520.ORF,E-520,400,1.714,2.974,2.374
Olympus E-600,Olympus/E-600/RAW_OLYMPUS_E600.ORF,E-600,100,2.326,4.001,3.318
Olympus E-620,Olympus/E-620/_1100778.orf,E-620,200,3.112,3.540,2.683
Olympus E-M1,Olympus/E-M1/sc000877.orf,E-M1,200,2.647,4.022,2.778
Olympus E-M10,Olympus/E-M10/P3180165.ORF,E-M10,200,2.556,3.703,2.677
Olympus E-M10 Mark II,Olympus/E-M10 Mark II/2022-04-15T17_31_58[P4150904].ORF,E-M10MarkII,200,3.009,3.468,1.691
Olympus E-M10 Mark III,Olympus/E-M10 Mark III/PA080192.ORF,E-M10 Mark III,100,9.749,23.138,11.288
Olympus E-M10 Mark IV,Olympus/E-M10 Mark IV/PA040002.ORF,E-M10MarkIV,100,2.520,3.322,2.010
Olympus E-M1MarkII,Olympus/E-M1MarkII/Olympus_EM1mk2_Standard_20MP.ORF,E-M1MarkII,400,1.951,2.843,nan
